Date,Leads,Conversions,Revenue,Marketing_Spend
2023-01-02,52,13,19500,1100
2023-01-09,58,15,22500,1200
2023-01-16,65,16,24000,1300
2023-01-23,60,15,21000,1250
2023-01-30,55,14,21000,1150
2023-02-06,50,13,19500,1100
2023-02-13,70,18,27000,1400
2023-02-20,68,17,25500,1350
2023-02-27,62,16,24000,1200
2023-03-06,64,16,24000,1250
2023-03-13,66,17,25500,1300
2023-03-20,59,15,22500,1150
2023-03-27,61,15,22500,1200
2023-04-03,63,16,24000,1250
2023-04-10,67,17,25500,1300
2023-04-17,72,18,27000,1350
2023-04-24,70,18,27000,1400
2023-05-01,68,17,25500,1350
2023-05-08,65,16,24000,1300
2023-05-15,60,15,22500,1250
2023-05-22,54,14,21000,1200
2023-05-29,56,14,21000,1150
2023-06-05,59,15,22500,1200
2023-06-12,61,15,22500,1250
2023-06-19,66,17,25500,1300
2023-06-26,69,17,25500,1350
2023-07-03,71,18,27000,1400
2023-07-10,68,17,25500,1350
2023-07-17,65,16,24000,1300
2023-07-24,62,16,24000,1250
2023-07-31,60,15,22500,1200
2023-08-07,57,14,21000,1150
2023-08-14,59,15,22500,1200
2023-08-21,62,16,24000,1250
2023-08-28,64,16,24000,1300
2023-09-04,67,17,25500,1350
2023-09-11,70,18,27000,1400
2023-09-18,73,18,27000,1350
2023-09-25,71,18,27000,1300
2023-10-02,69,17,25500,1250
2023-10-09,66,17,25500,1300
2023-10-16,63,16,24000,1250
2023-10-23,61,15,22500,1200
2023-10-30,58,15,22500,1150
2023-11-06,55,14,21000,1100
2023-11-13,53,13,19500,1050
2023-11-20,52,13,19500,1100
2023-11-27,54,14,21000,1150
2023-12-04,57,14,21000,1200
2023-12-11,60,15,22500,1250
2023-12-18,63,16,24000,1300
2023-12-25,65,16,24000,1250
2024-01-01,68,17,25500,1300
2024-01-08,70,18,27000,1350
2024-01-15,72,18,27000,1400
2024-01-22,69,17,25500,1350
2024-01-29,67,17,25500,1300
2024-02-05,65,16,24000,1250
2024-02-12,62,16,24000,1200
2024-02-19,60,15,22500,1150
2024-02-26,58,15,22500,1200
2024-03-04,55,14,21000,1150
2024-03-11,53,13,19500,1100
2024-03-18,52,13,19500,1050
2024-03-25,54,14,21000,1100
2024-04-01,57,14,21000,1150
2024-04-08,59,15,22500,1200
2024-04-15,61,15,22500,1250
2024-04-22,63,16,24000,1300
2024-04-29,66,17,25500,1350
2024-05-06,68,17,25500,1400
2024-05-13,70,18,27000,1350
2024-05-20,72,18,27000,1300
2024-05-27,71,18,27000,1250
2024-06-03,69,17,25500,1200
2024-06-10,67,17,25500,1150
2024-06-17,65,16,24000,1100
2024-06-24,63,16,24000,1050
2024-07-01,60,15,22500,1100
2024-07-08,58,15,22500,1150
2024-07-15,56,14,21000,1200
2024-07-22,55,14,21000,1150
2024-07-29,53,13,19500,1100
2024-08-05,52,13,19500,1050
2024-08-12,54,14,21000,1100
2024-08-19,57,14,21000,1150
2024-08-26,59,15,22500,1200
2024-09-02,62,16,24000,1250
2024-09-09,64,16,24000,1300
2024-09-16,66,17,25500,1350
2024-09-23,69,17,25500,1400
2024-09-30,71,18,27000,1350
2024-10-07,70,18,27000,1300
2024-10-14,68,17,25500,1250
2024-10-21,66,17,25500,1200
2024-10-28,63,16,24000,1150
2024-11-04,61,15,22500,1200
2024-11-11,59,15,22500,1150
2024-11-18,57,14,21000,1100
2024-11-25,55,14,21000,1050
2024-12-02,54,14,21000,1100
2024-12-09,53,13,19500,1050
2024-12-16,52,13,19500,1100
2024-12-23,54,14,21000,1150
