CustomerID,SignupDate,Age,Gender,MonthlySpend,TenureMonths,PaymentMethod,ContractType,SupportCalls,LoginsPerMonth,Churn
1,2020-04-08,32,Female,89.73,19,PayPal,Annual,2,49,No
2,2020-02-24,52,Male,100.87,3,Bank Transfer,Two-year,1,22,No
3,2021-04-13,18,Female,126.4,15,Debit Card,Month-to-month,10,16,Yes
4,2020-08-03,34,Male,92.61,32,Bank Transfer,Two-year,5,35,No
5,2021-07-15,36,Female,54.05,24,Bank Transfer,Two-year,3,16,No
6,2022-01-09,66,Male,105.9,11,PayPal,Annual,5,17,No
7,2020-11-17,38,Female,100.65,12,Bank Transfer,Two-year,9,33,No
8,2022-02-20,71,Male,119.16,2,Bank Transfer,Month-to-month,8,37,Yes
9,2020-04-21,65,Female,101.81,34,Bank Transfer,Month-to-month,2,45,No
10,2020-03-28,81,Male,111.42,29,PayPal,Two-year,1,45,No
11,2022-02-21,45,Male,146.81,30,Bank Transfer,Month-to-month,4,47,No
12,2022-06-04,51,Male,48.31,13,PayPal,Annual,5,8,No
13,2020-03-24,18,Female,132.12,6,Debit Card,Month-to-month,2,27,No
14,2020-08-28,34,Male,125.67,36,Bank Transfer,Annual,4,25,No
15,2020-08-14,19,Male,129.35,14,PayPal,Annual,2,2,Yes
16,2022-01-31,26,Male,33.58,32,PayPal,Annual,7,48,No
17,2022-12-08,55,Male,137.59,23,Debit Card,Two-year,10,30,No
18,2022-12-18,70,Male,21.64,22,Credit Card,Annual,7,9,No
19,2022-06-02,54,Male,147.26,10,Debit Card,Annual,4,2,No
20,2020-11-13,77,Female,84.26,33,Bank Transfer,Two-year,2,22,No
21,2021-10-09,60,Female,130.04,1,Credit Card,Annual,8,8,No
22,2022-04-20,55,Male,21.86,3,Bank Transfer,Month-to-month,1,30,Yes
23,2020-01-04,85,Female,57.02,34,Bank Transfer,Two-year,7,24,No
24,2021-09-05,38,Male,64.72,11,Bank Transfer,Two-year,4,15,No
25,2020-04-03,73,Male,104.9,33,PayPal,Two-year,0,36,No
26,2020-12-24,66,Male,116.01,14,Debit Card,Annual,0,46,Yes
27,2021-11-30,59,Female,129.9,28,PayPal,Month-to-month,7,16,No
28,2020-04-25,54,Male,106.58,9,Bank Transfer,Two-year,7,42,Yes
29,2020-04-01,54,Male,128.49,15,Debit Card,Two-year,7,35,No
30,2021-04-24,80,Male,132.19,22,Debit Card,Annual,7,41,No
31,2021-08-01,58,Female,93.43,3,Bank Transfer,Two-year,10,17,No
32,2021-04-16,36,Female,77.03,24,Debit Card,Annual,6,38,Yes
33,2021-10-18,73,Female,75.84,1,PayPal,Two-year,5,28,No
34,2022-04-08,41,Female,89.27,1,PayPal,Two-year,1,46,Yes
35,2022-07-23,25,Female,58.03,29,Bank Transfer,Annual,0,41,No
36,2022-02-25,34,Female,125.86,28,PayPal,Two-year,5,38,No
37,2022-11-27,45,Male,84.99,13,Debit Card,Annual,10,13,No
38,2021-04-28,29,Female,104.28,28,PayPal,Annual,9,42,No
