Process_ID,Process_Name,Department,Process_Category,Manual_Steps (count),Total_Time (minutes),Manual_Time (minutes),System_Used,Process_Owner,Frequency,Optimization_Potential (score),Last_Review_Date
1,Invoice Processing,Finance,Manual,4,60,51,HubSpot,Alice,Daily,2,2023-01-01
2,Order Fulfillment,Operations,Automated,5,75,22,Salesforce,Bob,Weekly,3,2023-01-02
3,Customer Onboarding,HR,Hybrid,6,90,54,Zoho,Charlie,Monthly,4,2023-01-03
4,Expense Approval,IT,Manual,7,105,89,QuickBooks,Diana,Quarterly,5,2023-01-04
5,Payroll Processing,Sales,Automated,8,120,36,Microsoft Dynamics,Eve,Daily,6,2023-01-05
6,Inventory Reconciliation,Marketing,Hybrid,9,135,81,HubSpot,Frank,Weekly,7,2023-01-06
7,Quality Check,Procurement,Manual,10,150,128,Salesforce,Grace,Monthly,8,2023-01-07
8,Procurement,Quality,Automated,11,165,50,Zoho,Heidi,Quarterly,9,2023-01-08
9,HR Recruitment,Customer Service,Hybrid,12,180,108,QuickBooks,Ivan,Daily,10,2023-01-09
10,IT Ticket Resolution,Admin,Manual,3,195,166,Microsoft Dynamics,Judy,Weekly,1,2023-01-10
11,Invoice Processing,Finance,Automated,4,60,18,HubSpot,Alice,Monthly,2,2023-01-11
12,Order Fulfillment,Operations,Hybrid,5,75,45,Salesforce,Bob,Quarterly,3,2023-01-12
13,Customer Onboarding,HR,Manual,6,90,77,Zoho,Charlie,Daily,4,2023-01-13
14,Expense Approval,IT,Automated,7,105,32,QuickBooks,Diana,Weekly,5,2023-01-14
15,Payroll Processing,Sales,Hybrid,8,120,72,Microsoft Dynamics,Eve,Monthly,6,2023-01-15
16,Inventory Reconciliation,Marketing,Manual,9,135,115,HubSpot,Frank,Quarterly,7,2023-01-16
17,Quality Check,Procurement,Automated,10,150,45,Salesforce,Grace,Daily,8,2023-01-17
18,Procurement,Quality,Hybrid,11,165,99,Zoho,Heidi,Weekly,9,2023-01-18
19,HR Recruitment,Customer Service,Manual,12,180,153,QuickBooks,Ivan,Monthly,10,2023-01-19
20,IT Ticket Resolution,Admin,Automated,3,195,59,Microsoft Dynamics,Judy,Quarterly,1,2023-01-20
21,Invoice Processing,Finance,Hybrid,4,60,36,HubSpot,Alice,Daily,2,2023-01-21
22,Order Fulfillment,Operations,Manual,5,75,64,Salesforce,Bob,Weekly,3,2023-01-22
23,Customer Onboarding,HR,Automated,6,90,27,Zoho,Charlie,Monthly,4,2023-01-23
24,Expense Approval,IT,Hybrid,7,105,63,QuickBooks,Diana,Quarterly,5,2023-01-24
25,Payroll Processing,Sales,Manual,8,120,102,Microsoft Dynamics,Eve,Daily,6,2023-01-25
26,Inventory Reconciliation,Marketing,Automated,9,135,41,HubSpot,Frank,Weekly,7,2023-01-26
27,Quality Check,Procurement,Hybrid,10,150,90,Salesforce,Grace,Monthly,8,2023-01-27
28,Procurement,Quality,Manual,11,165,140,Zoho,Heidi,Quarterly,9,2023-01-28
29,HR Recruitment,Customer Service,Automated,12,180,54,QuickBooks,Ivan,Daily,10,2023-01-29
30,IT Ticket Resolution,Admin,Hybrid,3,195,117,Microsoft Dynamics,Judy,Weekly,1,2023-01-30
31,Invoice Processing,Finance,Manual,4,60,51,HubSpot,Alice,Monthly,2,2023-01-31
32,Order Fulfillment,Operations,Automated,5,75,22,Salesforce,Bob,Weekly,3,2023-02-01
33,Customer Onboarding,HR,Hybrid,6,90,54,Zoho,Charlie,Monthly,4,2023-02-02
34,Expense Approval,IT,Manual,7,105,89,QuickBooks,Diana,Quarterly,5,2023-02-03
35,Payroll Processing,Sales,Automated,8,120,36,Microsoft Dynamics,Eve,Daily,6,2023-02-04
36,Inventory Reconciliation,Marketing,Hybrid,9,135,81,HubSpot,Frank,Weekly,7,2023-02-05
37,Quality Check,Procurement,Manual,10,150,128,Salesforce,Grace,Monthly,8,2023-02-06
38,Procurement,Quality,Automated,11,165,50,Zoho,Heidi,Quarterly,9,2023-02-07
39,HR Recruitment,Customer Service,Hybrid,12,180,108,QuickBooks,Ivan,Daily,10,2023-02-08
40,IT Ticket Resolution,Admin,Manual,3,195,166,Microsoft Dynamics,Judy,Weekly,1,2023-02-09
41,Invoice Processing,Finance,Automated,4,60,18,HubSpot,Alice,Monthly,2,2023-02-10
42,Order Fulfillment,Operations,Hybrid,5,75,45,Salesforce,Bob,Quarterly,3,2023-02-11
43,Customer Onboarding,HR,Manual,6,90,77,Zoho,Charlie,Daily,4,2023-02-12
44,Expense Approval,IT,Automated,7,105,32,QuickBooks,Diana,Weekly,5,2023-02-13
45,Payroll Processing,Sales,Hybrid,8,120,72,Microsoft Dynamics,Eve,Monthly,6,2023-02-14
46,Inventory Reconciliation,Marketing,Manual,9,135,115,HubSpot,Frank,Quarterly,7,2023-02-15
47,Quality Check,Procurement,Automated,10,150,45,Salesforce,Grace,Daily,8,2023-02-16
48,Procurement,Quality,Hybrid,11,165,99,Zoho,Heidi,Weekly,9,2023-02-17
49,HR Recruitment,Customer Service,Manual,12,180,153,QuickBooks,Ivan,Monthly,10,2023-02-18
50,IT Ticket Resolution,Admin,Automated,3,195,59,Microsoft Dynamics,Judy,Quarterly,1,2023-02-19
51,Invoice Processing,Finance,Hybrid,4,60,36,HubSpot,Alice,Daily,2,2023-02-20
52,Order Fulfillment,Operations,Manual,5,75,64,Salesforce,Bob,Weekly,3,2023-02-21
53,Customer Onboarding,HR,Automated,6,90,27,Zoho,Charlie,Monthly,4,2023-02-22
54,Expense Approval,IT,Hybrid,7,105,63,QuickBooks,Diana,Quarterly,5,2023-02-23
55,Payroll Processing,Sales,Manual,8,120,102,Microsoft Dynamics,Eve,Daily,6,2023-02-24
56,Inventory Reconciliation,Marketing,Automated,9,135,41,HubSpot,Frank,Weekly,7,2023-02-25
57,Quality Check,Procurement,Hybrid,10,150,90,Salesforce,Grace,Monthly,8,2023-02-26
58,Procurement,Quality,Manual,11,165,140,Zoho,Heidi,Quarterly,9,2023-02-27
59,HR Recruitment,Customer Service,Automated,12,180,54,QuickBooks,Ivan,Daily,10,2023-02-28
60,IT Ticket Resolution,Admin,Hybrid,3,195,117,Microsoft Dynamics,Judy,Weekly,1,2023-03-01
61,Invoice Processing,Finance,Manual,4,60,51,HubSpot,Alice,Monthly,2,2023-03-02
62,Order Fulfillment,Operations,Automated,5,75,22,Salesforce,Bob,Weekly,3,2023-03-03
63,Customer Onboarding,HR,Hybrid,6,90,54,Zoho,Charlie,Monthly,4,2023-03-04
64,Expense Approval,IT,Manual,7,105,89,QuickBooks,Diana,Quarterly,5,2023-03-05
65,Payroll Processing,Sales,Automated,8,120,36,Microsoft Dynamics,Eve,Daily,6,2023-03-06
66,Inventory Reconciliation,Marketing,Hybrid,9,135,81,HubSpot,Frank,Weekly,7,2023-03-07
67,Quality Check,Procurement,Manual,10,150,128,Salesforce,Grace,Monthly,8,2023-03-08
68,Procurement,Quality,Automated,11,165,50,Zoho,Heidi,Quarterly,9,2023-03-09
69,HR Recruitment,Customer Service,Hybrid,12,180,108,QuickBooks,Ivan,Daily,10,2023-03-10
70,IT Ticket Resolution,Admin,Manual,3,195,166,Microsoft Dynamics,Judy,Weekly,1,2023-03-11
71,Invoice Processing,Finance,Automated,4,60,18,HubSpot,Alice,Monthly,2,2023-03-12
72,Order Fulfillment,Operations,Hybrid,5,75,45,Salesforce,Bob,Quarterly,3,2023-03-13
73,Customer Onboarding,HR,Manual,6,90,77,Zoho,Charlie,Daily,4,2023-03-14
74,Expense Approval,IT,Automated,7,105,32,QuickBooks,Diana,Weekly,5,2023-03-15
75,Payroll Processing,Sales,Hybrid,8,120,72,Microsoft Dynamics,Eve,Monthly,6,2023-03-16
